occurrence_id	work	language	match	short_context	ai_decision	confidence	reason_code	review_note
dumas-fils-la-dame-aux-camelias-ef330670af8f3809	dumas-fils-la-dame-aux-camelias	fr	je t'aime	--Parce que, chère enfant, je n'entends pas que l'affection que tu veux bien avoir pour moi te prive même d'un bijou. Je ne veux pas, moi non plus, que dans un moment de gêne ou d'ennui, tu puisses réfléchir que si tu vivais avec un autre homme ces moments n'existeraient pas, et que tu te repentes, ne fût-ce qu'une minute, de vivre avec moi. Dans quelques jours, tes chevaux, tes diamants et tes cachemires te seront rendus. Ils te sont aussi nécessaires que l'air à la vie, et c'est peut-être ridicule, mais je t'aime mieux somptueuse que simple.	EXCLUDE	0.99	EXCLUDE_NOT_LOVE_SENSE	Here “je t’aime mieux somptueuse que simple” uses aimer mieux in the comparative sense “prefer,” not LOVE directed at the addressee.
lawrence-women-in-love-ed86ad31371fcf7d	lawrence-women-in-love	en	I love you	In the new, superfine bliss, a peace superseding knowledge, there was no I and you, there was only the third, unrealised wonder, the wonder of existing not as oneself, but in a consummation of my being and of her being in a new one, a new, paradisal unit regained from the duality. Nor can I say “I love you,” when I have ceased to be, and you have ceased to be: we are both caught up and transcended into a new oneness where everything is silent, because there is nothing to answer, all is perfect and at one. Speech travels between the separate parts. But in the perfect One there is perfect silence of bliss.	KEEP	0.92	VALID_EXPLICIT_LOVE_I_YOU	The metalinguistic negated formula still explicitly realizes LOVE with first-person experiencer and second-person target.
rostand-cyrano-de-bergerac-beedaa38fc4e711d	rostand-cyrano-de-bergerac	fr	Je t'aime	CYRANO: Non ! car c'est dans le conte Que lorsqu'on dit: Je t'aime ! au prince plein de honte, Il sent sa laideur fondre à ces mots de soleil. . . Mais tu t'apercevrais que je reste pareil.	KEEP	0.93	VALID_EXPLICIT_LOVE_I_YOU	The quoted metalinguistic formula itself explicitly realizes LOVE(I,YOU).
bronte-jane-eyre-be5891e54acebd59	bronte-jane-eyre	en	I love you	Of course, she knew her power: indeed, he did not, because he could not, conceal it from her. In spite of his Christian stoicism, when she went up and addressed him, and smiled gaily, encouragingly, even fondly in his face, his hand would tremble and his eye burn. He seemed to say, with his sad and resolute look, if he did not say it with his lips, “I love you, and I know you prefer me. It is not despair of success that keeps me dumb. If I offered my heart, I believe you would accept it. But that heart is already laid on a sacred altar: the fire is arranged round it. It will soon be no more than a sacrifice consumed.”	KEEP	0.94	VALID_EXPLICIT_LOVE_I_YOU	The represented, unspoken declaration explicitly contains LOVE with first-person experiencer and second-person target.
rostand-cyrano-de-bergerac-486ce6846e988616	rostand-cyrano-de-bergerac	fr	je vous aimais	DE GUICHE: Je ne prétendrai pas que si je vous aimais Je vous eusse choisis vous et les vôtres, mais, Comme à votre bravoure on n'en compare aucune, C'est mon Roi que je sers en servant ma rancune.	KEEP	0.94	VALID_EXPLICIT_LOVE_I_YOU	The conditional protasis explicitly realizes LOVE with first-person experiencer and second-person target.
lawrence-women-in-love-11d4795e5e796989	lawrence-women-in-love	en	Why don’t I love you	“Why don’t I love you?” he asked, as if admitting the truth of her accusation, yet hating her for it.	KEEP	0.96	VALID_EXPLICIT_LOVE_I_YOU	The interrogative contains explicit negated LOVE with first-person experiencer and second-person target.
alcott-little-women-0ade85b0c4b45d2d	alcott-little-women	en	I love you	“Oh, my dearest boy, don’t, don’t say that! I forgot you were rich when I said ‘Yes’. I’d have married you if you hadn’t a penny, and I sometimes wish you were poor that I might show how much I love you.” And Amy, who was very dignified in public and very fond in private, gave convincing proofs of the truth of her words.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The local syntax explicitly realizes LOVE with a first-person singular experiencer and second-person target.
alcott-little-women-0cae30f2225bbb66	alcott-little-women	en	I love you	“That’s my good girl. You do try to fight off your shyness, and I love you for it. Fighting faults isn’t easy, as I know, and a cheery word kind of gives a lift. Thank you, Mother,” And Jo gave the thin cheek a grateful kiss, more precious to Mrs. March than if it had given back the rosy roundness of her youth.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The local syntax explicitly realizes LOVE with a first-person singular experiencer and second-person target.
alcott-little-women-33ce4dd8b47e3819	alcott-little-women	en	I love you	“Don’t feel that I am separated from you, Marmee dear, or that I love you any the less for loving John so much,” she said, clinging to her mother, with full eyes for a moment. “I shall come every day, Father, and expect to keep my old place in all your hearts, though I am married. Beth is going to be with me a great deal, and the other girls will drop in now and then to laugh at my housekeeping struggles. Thank you all for my happy wedding day. Good-by, good-by!”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The local syntax explicitly realizes LOVE with a first-person singular experiencer and second-person target.
alcott-little-women-45381d3a79ea31f7	alcott-little-women	en	I love you	“I won’t trouble you. I only want to know if you care for me a little, Meg. I love you so much, dear,” added Mr. Brooke tenderly.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The local syntax explicitly realizes LOVE with a first-person singular experiencer and second-person target.
alcott-little-women-54c63b77093cb54f	alcott-little-women	en	I’ve loved you	“I’ve loved you ever since I’ve known you, Jo, couldn’t help it, you’ve been so good to me. I’ve tried to show it, but you wouldn’t let me. Now I’m going to make you hear, and give me an answer, for I can’t go on so any longer.”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The local syntax explicitly realizes LOVE with a first-person singular experiencer and second-person target.
bronte-jane-eyre-0be634bcda285142	bronte-jane-eyre	en	I love you	“And these dreams weigh on your spirits now, Jane, when I am close to you? Little nervous subject! Forget visionary woe, and think only of real happiness! You say you love me, Janet: yes—I will not forget that; and you cannot deny it. _Those_ words did not die inarticulate on your lips. I heard them clear and soft: a thought too solemn perhaps, but sweet as music—‘I think it is a glorious thing to have the hope of living with you, Edward, because I love you.’ Do you love me, Jane?—repeat it.”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The local syntax explicitly realizes LOVE with a first-person singular experiencer and second-person target.
